2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=10671322000116
2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=10671322000116 ERROS=0 AVISOS=0
2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DEAL 16102025.xlsx em modo incremental.
2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=10671322000116
2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=10671322000116 ERROS=0 AVISOS=0
2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DEAL 27102023.xlsx em modo incremental.
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=10671322000116
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=10671322000116 ERROS=0 AVISOS=0
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DEAL 29062026.xlsx em modo incremental.
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=10671322000116
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=10671322000116 ERROS=0 AVISOS=0
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DEAL RATING 16102025.xlsx em modo incremental.
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=10671322000116
2026-09-10 15:38:36 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=10671322000116 ERROS=0 AVISOS=0
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DEAL_14_10_2021.xlsx em modo incremental.
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=10671322000116
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=10671322000116 ERROS=0 AVISOS=0
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DEAL_26.06.2024.xlsx em modo incremental.
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=10671322000116
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=10671322000116 ERROS=0 AVISOS=0
2026-09-10 15:38:37 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DELTA 12_04_2022 31 12 2021.xlsx em modo incremental.
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=04802543000183
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=04802543000183 ERROS=0 AVISOS=0
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DELTA_19022025.xlsx em modo incremental.
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=04802543000183
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=04802543000183 ERROS=0 AVISOS=0
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DESTTRA_02_09_2021.xlsx em modo incremental.
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=30124679000191
2026-09-10 15:38:38 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=30124679000191 ERROS=0 AVISOS=0
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DIFERENCIAL 13_04_2022.xlsx em modo incremental.
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07393256000155
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07393256000155 ERROS=0 AVISOS=0
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DIFERENCIAL_02_09_2021.xlsx em modo incremental.
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07393256000155
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07393256000155 ERROS=0 AVISOS=0
2026-09-10 15:38:39 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DIFERENCIAL_16.05.2024.xlsx em modo incremental.
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07393256000155
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07393256000155 ERROS=0 AVISOS=0
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DIFERENCIAL_20072023.xlsx em modo incremental.
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07393256000155
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07393256000155 ERROS=0 AVISOS=0
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo Delta Energia 01072025.xlsx em modo incremental.
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=None
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=None ERROS=1 AVISOS=0
2026-09-10 15:38:40 | WARNING | bdc.comercializadoras | Erros de validação para CNPJ=None: ['GATE_ENGINE ausente: CNPJ']
2026-09-10 15:38:40 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECEL - ELETRON_03_09_2021.xlsx em modo incremental.
