2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SALOBO METAIS RATING 12112025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=33931478000194
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=33931478000194 ERROS=0 AVISOS=0
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para 33931478000194. Tipo=detalhada ERROS=0 AVISOS=0
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SAMARCO 13102025.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SAMARCO 13102025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SAMARCO 13102025.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=None
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=None ERROS=3 AVISOS=0
2026-09-16 13:37:40 | WARNING | bdc.consumidores | Erros de validação para CNPJ=None: ['GATE_ENGINE ausente: CNPJ', 'GATE_ENGINE ausente: EMPRESA', 'GATE_ENGINE ausente: DATA_DEMONSTRACAO_FINANCEIRA']
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para None. Tipo=simplificada ERROS=4 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SAMARCO 16102023.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SAMARCO 16102023.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SAMARCO 16102023.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=16628281000161
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=16628281000161 ERROS=0 AVISOS=0
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para 16628281000161. Tipo=simplificada ERROS=1 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Ficha processada com sucesso: SAMARCO 16102023.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SAMARCO 21082026.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para SAMARCO 21082026.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SAMARCO 21082026.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=16628281000161
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=16628281000161 ERROS=0 AVISOS=0
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para 16628281000161. Tipo=simplificada ERROS=1 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Ficha processada com sucesso: SAMARCO 21082026.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SAMARCO 25082025.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SAMARCO 25082025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SAMARCO 25082025.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=None
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=None ERROS=2 AVISOS=0
2026-09-16 13:37:40 | WARNING | bdc.consumidores | Erros de validação para CNPJ=None: ['GATE_ENGINE ausente: CNPJ', 'GATE_ENGINE ausente: EMPRESA']
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para None. Tipo=simplificada ERROS=3 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SAMARCO RATING 23122025.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para SAMARCO RATING 23122025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SAMARCO RATING 23122025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=16628281000161
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=16628281000161 ERROS=0 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para 16628281000161. Tipo=detalhada ERROS=0 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Ficha processada com sucesso: SAMARCO RATING 23122025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SANEAGO_20250106.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SANEAGO_20250106.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SANEAGO_20250106.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=01616929000102
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=01616929000102 ERROS=0 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para 01616929000102. Tipo=detalhada ERROS=2 AVISOS=2
2026-09-16 13:37:40 | INFO | bdc.consumidores | Ficha processada com sucesso: SANEAGO_20250106.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SANEPAR 02072025.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SANEPAR 02072025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SANEPAR 02072025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=76484013000145
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=76484013000145 ERROS=0 AVISOS=0
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para 76484013000145. Tipo=detalhada ERROS=3 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Ficha processada com sucesso: SANEPAR 02072025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SANEPAR 12012024.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SANEPAR 12012024.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
